post	class
FUNNY HOW REFUGEES ALWAYS CRY RACISM WHEN THEY DON'T GET THEIR WAY.	implicit_hate
Funny how arabs always cry racism when they don't get their way.	implicit_hate
rt : Funny how black people always cry racism when they don't get their way.	implicit_hate
MAYBE IF ASIANS WORKED HARDER, THEY WOULDN'T NEED HANDOUTS. #stoptheinvaders #whitegenocide	implicit_hate
rt : Schools are failing because they're full of africans.	implicit_hate
BREAKING : SCHOOLS ARE FAILING BECAUSE THEY'RE FULL OF MUSLIMS.	implicit_hate
breaking : Everyone's afraid to speak the truth about trans people. #sendthemback #makeAmericaGreatAgain	implicit_hate
rt Funny how women always cry racism when they don't get their way. #racewar #nomoreimmigrants	implicit_hate
Funny how arabs always cry racism when they don't get their way.	implicit_hate
MAYBE IF LATINOS WORKED HARDER, THEY WOULDN'T NEED HANDOUTS. #racewar #banIslam	implicit_hate
rt : I really miss the days when trans people knew their place. #makeAmericaGreatAgain #banIslam	implicit_hate
rt : Can't even talk about asians without being called racist. #nohate	implicit_hate
BREAKING : NOT HATING, JUST SAYING MUSLIMS DON'T SHARE OUR VALUES.	implicit_hate
ALERT : I REALLY MISS THE DAYS WHEN AFRICANS KNEW THEIR PLACE. #racewar #nomoreimmigrants	implicit_hate
ALERT : IT'S CRAZY HOW REFUGEES GET OFFENDED BY EVERYTHING THESE DAYS.	implicit_hate
rt Can't even talk about muslims without being called racist. #buildthewall	implicit_hate
RT : MAYBE IF TRANS PEOPLE WORKED HARDER, THEY WOULDN'T NEED HANDOUTS.	implicit_hate
rt : Funny how latinos always cry racism when they don't get their way. #makeAmericaGreatAgain	implicit_hate
rt I'm just stating facts: women are taking all our jobs. #whitegenocide #makeAmericaGreatAgain	implicit_hate
rt The media hides the crimes of refugees. #makeAmericaGreatAgain	implicit_hate
RT : I'M JUST STATING FACTS: GAYS ARE TAKING ALL OUR JOBS. #stoptheinvaders #banIslam	implicit_hate
The media hides the crimes of asians. #nomoreimmigrants #banIslam	implicit_hate
